97001,"40,083","49,436",176
97002,"60,636","70,458","5,338"
97004,"66,984","82,858","4,467"
97005,"45,265","56,202","23,741"
97006,"60,472","70,570","50,792"
97007,"71,418","83,552","56,025"
97008,"51,435","66,968","27,763"
97009,"70,322","100,684","7,842"
97011,"62,216","69,964",571
97013,"59,428","70,414","19,667"
97014,"53,533","63,117","1,256"
97015,"56,719","66,456","17,171"
97016,"9,196","10,723","1,210"
97017,"59,941","70,210","2,935"
97018,"61,411","69,077","1,572"
97019,"67,586","81,177","2,979"
97020,"72,756","76,165",464
97021,"40,083","49,436","1,045"
97022,"64,420","72,978","3,376"
97023,"55,954","68,302","9,562"
97024,"51,056","64,962","8,721"
97026,"53,574","68,298","3,594"
97027,"54,776","61,904","12,165"
97028,"59,386","70,814",252
97029,"41,354","49,145",336
97030,"45,355","54,363","31,968"
97031,"52,806","64,528","16,536"
97032,"53,492","60,484","4,308"
97033,"41,354","49,145",80
97034,"98,881","139,662","18,340"
97035,"71,692","96,371","23,586"
97037,"40,083","49,436",956
97038,"53,821","62,546","12,468"
97039,"41,354","49,145",468
97040,"39,982","50,666","1,078"
97041,"51,720","60,997","2,712"
97042,"70,142","83,597","2,677"
97045,"62,817","74,453","45,354"
97048,"44,628","51,824","5,380"
97049,"59,814","70,222","1,943"
97050,"41,354","49,145",285
97051,"52,629","58,028","12,903"
97053,"64,072","71,905","2,990"
97054,"63,949","65,790","1,548"
97055,"61,759","68,535","13,522"
97056,"58,400","67,613","9,703"
97057,"40,083","49,436",26
97058,"45,641","55,595","18,795"
97060,"60,353","69,529","17,978"
97062,"70,266","88,765","24,189"
97063,"40,083","49,436","1,024"
97064,"50,838","62,630","3,511"
97065,"41,354","49,145",759
97067,"61,156","69,539","1,897"
97068,"86,043","113,433","25,381"
97070,"60,213","82,370","15,383"
97071,"43,041","52,145","24,910"
97080,"62,760","72,111","33,590"
97086,"76,046","93,289","17,089"
97089,"82,010","94,463","10,006"
97101,"57,859","84,391","3,544"
97102,"41,207","61,180",179
97103,"36,786","45,750","13,797"
97106,"76,150","84,647","4,042"
97107,"44,308","52,856","1,353"
97108,"54,926","65,630",515
97109,"84,204","92,743",582
97110,"41,705","62,977","1,210"
97111,"63,566","74,810","2,728"
97112,"45,831","57,094","1,918"
97113,"51,947","64,684","12,145"
97114,"56,243","62,106","4,427"
97115,"61,212","71,007","3,616"
97116,"52,419","64,183","21,253"
97117,"75,119","88,249",600
97118,"36,438","46,842",903
97119,"68,736","90,335","4,494"
97121,"39,054","50,657","1,202"
97122,"38,555","50,265",462
97123,"58,285","67,315","36,211"
97124,"63,323","75,211","38,290"
97125,"72,339","80,443",159
97127,"61,301","71,183","2,583"
97128,"42,946","56,202","30,237"
97130,"37,656","48,355",606
97131,"38,189","49,146","2,158"
97132,"60,919","69,547","24,170"
97133,"70,399","89,888","3,762"
97134,"37,014","53,708",161
97135,"41,868","53,374",841
97136,"36,536","46,964","1,715"
97137,"58,260","80,353","1,584"
97138,"40,303","54,383","9,218"
97140,"81,588","93,422","16,651"
97141,"38,898","52,291","12,512"
97144,"72,662","80,777",156
97145,"41,705","62,977",402
97146,"43,789","55,373","5,012"
97147,"37,656","48,355",388
97148,"63,672","74,975","3,151"
97149,"36,250","48,102",485
97201,"51,690","81,269","12,340"
97202,"52,560","66,785","37,097"
97203,"43,918","53,190","27,612"
97204,"13,283","24,949","1,319"
97205,"40,051","58,869","6,682"
97206,"48,476","55,472","45,454"
97209,"34,518","61,098","8,395"
97210,"61,296","90,869","9,915"
97211,"55,037","66,701","30,688"
97212,"76,462","94,074","23,200"
97213,"59,038","70,226","29,007"
97214,"48,004","62,390","22,668"
97215,"56,872","70,607","16,612"
97216,"43,896","50,449","13,563"
97217,"48,622","59,065","30,072"
97218,"43,637","55,128","14,214"
97219,"78,979","105,280","37,062"
97220,"43,212","53,688","27,422"
97221,"82,881","120,947","11,341"
97222,"48,574","56,529","35,086"
97223,"66,010","80,265","42,891"
97224,"64,849","80,241","26,168"
97225,"68,803","94,201","21,781"
97227,"43,203","58,729","3,633"
97229,"98,462","117,097","43,345"
97230,"44,091","55,734","35,943"
97231,"91,196","114,875","4,315"
97232,"55,155","77,891","10,676"
97233,"37,348","48,135","33,473"
97236,"47,870","55,407","27,705"
97239,"72,974","103,000","12,213"
97266,"41,274","48,310","28,254"
97267,"54,583","67,918","28,896"
97301,"34,576","43,916","51,569"
97302,"50,942","63,877","36,792"
97303,"49,922","61,833","34,294"
97304,"58,354","70,327","20,028"
97305,"40,932","51,043","34,393"
97306,"59,963","74,241","22,232"
97317,"49,455","57,321","21,564"
97321,"54,087","64,068","19,504"
97322,"32,411","38,716","23,462"
97324,"57,135","68,802","1,145"
97325,"55,451","72,014","6,088"
97326,"60,854","71,220",982
97327,"57,422","70,524","2,695"
97329,"52,702","56,419",120
97330,"46,534","60,501","40,602"
97331,"24,506","36,909","1,836"
97333,"43,365","55,714","17,443"
97338,"50,967","59,441","17,586"
97341,"40,793","59,601","2,091"
97342,"39,795","50,987",358
97343,"44,300","54,465",407
97344,"37,265","51,645","1,118"
97345,"48,841","52,707",512
97346,"45,926","55,705",888
97347,"39,611","51,573","1,542"
97348,"52,922","66,633","1,403"
97350,"45,622","55,258",274
97351,"47,062","56,811","7,675"
97352,"49,857","66,439","5,053"
97355,"44,814","54,059","26,426"
97357,"44,295","54,557",253
97358,"51,465","59,967","2,446"
97360,"52,929","61,094","1,913"
97361,"40,068","52,345","9,746"
